원재료명,단가
ABS 0660I K21441, 3.40 
ABS 0660I M/FW9702, 3.40 
ABS 380HF-OA631, 3.52 
ABS 380-NP, 3.20 
ABS 558A-NP, 4.40 
ABS DAH 935-1A64, 4.74 
ABS DAH935-2271, 3.30 
ABS DAH935-3297D-G, 3.30 
ABS DAH935-7494-G, 3.30 
ABS DAH935-7655C-G, 3.30 
ABS GP-35-0291S, 4.40 
ABS HF-0660I/NPW, 3.08 
ABS HF-0660I/W99490, 3.40 
ABS HIPS 60HRI-NP(현대H-616), 2.75 
ABS HIPS DPH660-1B53-G, 4.00 
ABS SD0170, 3.14 
ABS SD0170-FW9419, 2.85 
ABS SD0170-W96555, 3.40 
ABS SD0170-W99340, 3.40 
ABS SF-0950 K21294, 4.18 
AS 80IC, 2.72 
AS 82TR, 2.72 
ASA LI912, 3.90 
BELLPET IP252BR1, 4.60 
GPPS 25SPI, 2.15 
HDPE 7600, 2.48 
HIPS 476, 2.81 
HIPS DPH660-1B34C, 2.55 
HIPS DPH660-1B34C-G, 2.55 
HIPS DPH660-7553, 3.19 
HIPS H616, 2.75 
HS-ABS DWAB600(WHITE), 4.95 
LDPE 2426H, 2.84 
LDPE 5301, 2.50 
LDPE 5322F, 3.00 
LDPE FB3050, 2.15 
LLDPE 7635, 2.50 
LLDPE JL210, 2.75 
M/B (펄없음), 10.00 
M/B (펄있음), 15.00 
MPP DWR-2350(내추럴), 3.17 
MPP DWR-236050NP, 3.37 
PBT GP1000H KA39, 4.10 
PC 3022IR, 6.05 
PC ABS 215NA, 6.55 
PC SC1280UR, 5.80 
PCR ABS R380G5-0B574-P, 3.30 
PCTA AN004, 9.50 
PCTG DS0831, 3.90 
PET BCL57, 3.00 
PET BCL62, 3.00 
PET BR8040, 3.20 
PET PCR ECOTRIA R100(30%), 4.13 
PET YS-Y01, 2.70 
PETG DN011, 2.42 
PETG DN501V (4%), 3.63 
PETG DN501V (5%), 3.63 
PETG GN40, 3.63 
PETG GN40 (4%), 3.63 
PETG PN200, 4.20 
PMMA IF850-E1L, 3.90 
PMMA V-150, 4.07 
POM F30-03, 3.90 
PP 4017, 1.70 
PP 4018, 1.85 
PP A353, 3.86 
PP HP602N, 2.18 
PP J560, 2.32 
PP R301, 3.50 
PP S-410, 4.40 
PP SB-550A, 2.70 
PP SJ170T, 2.26 
SAN 8211-55, 8.50 
SAN 82TR, 2.72 
SAN 80HF, 3.40 
SAN 80HF, 3.40 
ABS SD-0152/K2007, 3.40 
