부자재명,단가
(신)녹색망고꼭지,70
(신)주사기실리콘노즐(백색),90
[덕진]H-NBR70(검정)고무 (오일펌프피스톤),95
PE 1.2T*15.8ø(외경)*7.3ø(내경) (백색(양코)),4
[영광]H-NBR70(검정)고무 (오일펌프피스톤),120
100G물방울크림PET리드(백색),30
100G베이직원형3PET리드(백색),30
100G베이직원형3PET리드(백색/손잡이형),30
100G송사장PS리드,30
12호무지박스,950
12호박스,950
1호박스,740
1호박스(접착용),650
200G덕용PS리드,35
200G원형브로우PET투명리드 (토니모리로고有),40
20G다이아몬드아이크림명판(진회색),210
20G시공PS리드,25
2호박스,550
300G달팽이PET리드(투명) (토니모리로고有),50
300G사각브로우PET투명리드 (토니모리로고有),35
"30G,60G산양유크림PET백색리드",30
30G감귤PS리드 (토니모리로고有),30
30G다이아몬드크림명판(진회색),210
30G달팽이2PET백색리드,30
30G베이직원형PS리드,25
30G복숭아PS리드 ,30
30G장독PET백색리드,25
30G장독PS리드(백색),25
30G호박PS리드(연한오렌지색),30
3G시공PS리드,18
45ø금분인쇄스티커,27
45ø백색무인쇄스티커,22
45ø영문인쇄스티커,30
46ø투명무인쇄스티커,27
4호 2/1박스,750
4호박스 (패키지코아/PCC),800
50G달팽이2PET투명리드 (토니모리로고有),30
50G문어PET투명리드 (토니모리로고有),30
50G베이직원형3PET리드(백색/손잡이형),30
50G베이직원형PET리드(백색),30
50G베이직원형PS리드,30
50G베이직원형PS리드(골드펄),30
50G비너스2PS리드(백색) ,30
50G신달팽이PS리드(골드) (토니모리로고有),40
50G장독PET리드(백색),30
50G장독PS리드(골드) (토니모리로고有),40
50G장독PS리드(백색),30
50G장독PS리드(백색)(0.7T),40
50G초음파벨트PET리드(투명),25
50G항아리2PS리드(백색),30
50ø금분인쇄스티커,30
51ø알미늄명판용양면테이프    ,65
52.5Ø백색손잡이13.5MM무인쇄스티커,88
52.5Ø백색손잡이13.5MM패키지코아전용,107
52.5Ø회색1도손잡이13.5MM한글공용,93
52.5Ø회색1도손잡이13.5MM한글공용(롤타입),120
55ø회색1도손잡이10MM한글공용,130
"60G,100G그린티크림PET리드(백색)",30
"60G,100G그린티크림PS리드",30
70G돼지크림골드펄PS리드(홈파진것) (토니모리로고有),40
70G원형브로우PET리드(백색),30
73ø PE80 보호필름(명판용),48
80G수면팩 PS리드(백색),30
80G수면팩PS리드(백색),30
80G호박PS리드(연한오렌지색) (토니모리로고有),40
8G달팽이시공PET백색리드,25
8G시공PS리드(백색),25
8G시공PS리드(백색/8산용),25
A/L 1.0T*50ø (T-20/일반),24
A/L 1.0T*56.7ø(전면부착) (T-40/일반),27
A/L 1.0T*57ø(전면부착) (T-40/일반) ,27
A/L 1.0T*64ø(전면부착) (T-40/일반) ,29
A/L 1.5T*23.4ø(외경)*15.3ø(내경),9
A/L 1.5T*25ø (T-12/일반),13
A/L 1.5T*35ø (T-20일반),17
A/L 1.5T*50.8ø(전면부착) (T-40/코팅된것),27
A/L 1.5T*51ø(전면부착) (T-40/일반),28
A/L 1.5T*54.2ø(전면부착) (T-40/일반),28
A/L 1.5T*55ø (T-20/일반),26
A/L 1.5T*56.4ø (전면부착) (T-40/PET코팅된것),28
A/L 1.5T*56.7ø(전면부착) (T-40/일반),30
A/L 1.5T*64ø (T-20/일반),27
A/L 2.0T*33.2ø(전면부착) (T-25/일반),18
A/L 2.0T*42.8ø(전면부착) (T-30/일반),23
A/L 2.0T*50.8ø(전면부착) (T-40/단코),32
A/L 2.0T*50ø(전면부착) (T-30/상하양면/일반),55
A/L 2.0T*50ø(전면부착) (T-30/일반),28
A/L 2.0T*54.2ø(전면부착) (T-40/일반),32
A/L 2.0T*54.8ø (전면부착) (T-40/일반),33
A/L 2.0T*56.4ø (전면부착) (T-40/단코),28
A/L 2.0T*56.8ø (전면부착) (T-40/일반),33
A/L 2.0T*57ø(전면부착) (T-40/일반),33
A/L 2.0T*68.3ø (전면부착) (T-50/일반),39
A/L 2.5T*57ø (전면부착) (T-40/일반),37
A/L 3.0T*50ø (T-30/일반),37
